rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
AA1 N D IH0 NG	1	3	corresponding	4.13	corresponding (4.1)	corresponding, responding, bonding
UH1 K IY0	1	3	rookie	4.13	rookie (4.1)	rookie, cookie, bookie
AH1 Z AH0 N Z	1	3	dozens	4.13	dozens (4.1),  cousins (4.0),  cousin's (3.0)	dozens, cousins, cousin's
IH1 SH AH0 Z	1	3	dishes	4.13	dishes (4.1),  militias (3.2)	dishes, fishes, militias
EY1 AO2 F	1	3	playoff	4.13	playoff (4.1)	playoff, payoff, layoff
EY1 S AH0 N T	1	3	adjacent	4.12	adjacent (4.1)	adjacent, complacent, nascent
AH1 NG G AH0 L	1	3	jungle	4.12	jungle (4.1),  fungal (3.3)	jungle, fungal, antifungal
UH1 K IY0 Z	1	3	cookies	4.12	cookies (4.1)	cookies, rookies, bookies
AH1 S T AH0 D	1	3	adjusted	4.11	adjusted (4.1)	adjusted, disgusted, rusted
EH1 N CH AH0 N Z	1	3	intentions	4.11	intentions (4.1)	intentions, tensions, interventions
EY1 S T IH0 NG	1	3	wasting	4.11	wasting (4.1)	wasting, tasting, pasting
EY1 T OW2	1	3	potato	4.11	potato (4.1)	potato, tomato, saito
IH1 JH AH0 Z	1	3	bridges	4.1	bridges (4.1)	bridges, ridges, fridges
UW1 T AH0 L	1	3	brutal	4.1	brutal (4.1),  futile (3.4),  butyl (2.5)	brutal, futile, butyl
ER1 B IY0	1	3	derby	4.1	derby (4.1),  kirby (3.6),  herbie (2.9)	derby, kirby, herbie
AE1 G AH0 N Z	1	3	dragons	4.1	dragons (4.1),  dragon's (3.1)	dragons, wagons, dragon's
AA1 L AH0 N D	1	3	holland	4.1	holland (4.1)	holland, mulholland, rolland
AA1 CH AH0 Z	1	3	watches	4.1	watches (4.1)	watches, notches, swatches
AA1 CH IH0 Z	1	3	watches	4.1	watches (4.1)	watches, notches, swatches
EH1 JH AH0 Z	1	3	edges	4.09	edges (4.1)	edges, alleges, wedges
AE1 S T AH0 D	1	3	lasted	4.09	lasted (4.1)	lasted, blasted, contrasted
AE1 S T IH0 D	1	3	lasted	4.09	lasted (4.1)	lasted, blasted, fasted
AA1 M IH0 NG	1	3	bombing	4.09	bombing (4.1)	bombing, calming, embalming
AA1 R K AH0 S	1	3	marcus	4.09	marcus (4.1),  carcass (3.2)	marcus, carcass, markus
OW1 L IH0 N	1	3	colin	4.09	colin (4.1),  rollin' (3.1)	colin, rollin', olin
ER1 V AH0 N T	1	3	servant	4.09	servant (4.1),  fervent (3.0)	servant, observant, fervent
UW1 OW0	1	3	duo	4.08	duo (4.1)	duo, kuo, kazuo
AE1 M B L IH0 NG	1	3	gambling	4.08	gambling (4.1)	gambling, scrambling, rambling
EH1 B AH0 L	1	3	rebel	4.08	rebel (4.1),  pebble (3.3)	rebel, pebble, treble
AA1 K AH0 T S	1	3	pockets	4.08	pockets (4.1)	pockets, rockets, sockets
AH1 K IH0 T	1	3	bucket	4.07	bucket (4.1)	bucket, nantucket, pawtucket
EH1 N D AH0 S	1	3	tremendous	4.07	tremendous (4.1)	tremendous, horrendous, stupendous
EH1 B AH0 L Z	1	3	rebels	4.07	rebels (4.1),  rebels' (4.1),  pebbles (3.2)	rebels, rebels', pebbles
EH1 M OW0	1	3	demo	4.06	demo (4.1)	demo, nemo, remo
UH1 R IH0 S T S	1	3	tourists	4.06	tourists (4.1)	tourists, jurists, purists
