rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
EH1 L IH0 NG	1	20	telling	4.92	telling (4.9)	telling, selling, yelling, spelling, compelling, dwelling, swelling, smelling, bestselling, shelling, retelling, propelling, expelling, felling, welling, rebelling, repelling, excelling, reselling, misspelling
AA1 M AH0	1	20	obama	4.86	obama (4.9)	obama, drama, mama, lama, momma, mamma, osama, ,comma, comma, rama, sama, yokohama, llama, saitama, pajama, tama, kama, hama, bahama, gama
EH1 L OW0	1	20	fellow	4.76	fellow (4.8),  cello (3.3)	fellow, yellow, mellow, cello, costello, melo, marcelo, bello, othello, carmelo, belo, marcello, jello, monticello, bellow, canelo, coelho, mello, cabello, morello
EH1 S T IH0 D	1	20	suggested	4.68	suggested (4.7)	suggested, arrested, tested, requested, invested, rested, vested, infested, congested, attested, molested, nested, breasted, untested, uncontested, chested, bested, divested, reinvested, detested
EH1 K SH AH0 N Z	1	20	elections	4.66	elections (4.7)	elections, sections, connections, directions, collections, infections, projections, corrections, objections, selections, reflections, protections, inspections, injections, imperfections, intersections, affections, recollections, rejections, erections
EH1 N D ER0	1	20	gender	4.59	gender (4.6),  vendor (3.8)	gender, defender, surrender, tender, transgender, vendor, render, offender, lender, contender, slender, blender, bender, fender, sender, splendor, pretender, ender, spender, engender
EH1 N T IH0 D	1	20	represented	4.53	represented (4.5)	represented, invented, prevented, rented, scented, cemented, consented, lamented, segmented, demented, vented, contented, misrepresented, underrepresented, dented, reinvented, relented, repented, dissented, circumvented
AA1 L AH0	1	20	allah	3.89	allah (3.9),  guatemala (3.6)	allah, guatemala, kerala, kuala, hezbollah, corolla, impala, koala, scala, lala, kampala, alla, bala, mala, amygdala, sala, ayala, ramallah, cala, kabbalah
AE1 K SH AH0 N	1	19	action	5.25	action (5.2)	action, reaction, interaction, transaction, satisfaction, attraction, fraction, extraction, faction, distraction, traction, contraction, dissatisfaction, abstraction, inaction, diffraction, subtraction, infraction, retraction
IY1 T IH0 NG	1	19	meeting	5.15	meeting (5.2)	meeting, eating, beating, treating, competing, cheating, heating, completing, repeating, seating, greeting, defeating, deleting, fleeting, retreating, keating, sheeting, depleting, overeating
IY1 L IH0 NG	1	19	feeling	5.13	feeling (5.1)	feeling, dealing, healing, stealing, ceiling, revealing, appealing, sealing, kneeling, peeling, wheeling, concealing, reeling, repealing, ealing, squealing, annealing, unappealing, darjeeling
EH1 N CH AH0 L	1	19	potential	5.01	potential (5.0)	potential, essential, presidential, residential, vice-presidential, influential, confidential, differential, existential, exponential, sequential, preferential, prudential, consequential, quintessential, torrential, inconsequential, credential, tangential
EH1 K T ER0 Z	1	19	directors	4.45	directors (4.5),  directors' (4.5),  director's (3.3)	directors, directors', sectors, collectors, collectors', inspectors, inspectors', detectors, vectors, director's, electors, connectors, protectors, collector's, projectors, defectors, injectors, objectors, reflectors
IY1 T AH0	1	19	rita	3.75	rita (3.8),  cheetah (3.2)	rita, meta, anita, margarita, greta, cheetah, peta, nikita, lolita, pita, juanita, kita, bonita, lupita, nita, clarita, rosita, lita, conchita
EH1 V ER0	1	18	never	5.91	never (5.9),  trevor (3.9),  endeavour (3.5)	never, ever, however, whatever, forever, whenever, whoever, wherever, clever, whatsoever, trevor, whichever, lever, endeavor, endeavour, sever, whomever, whosoever
IH1 T IH0 NG	1	18	getting	5.57	getting (5.6)	getting, sitting, hitting, fitting, committing, admitting, splitting, quitting, submitting, spitting, permitting, knitting, transmitting, emitting, pitting, befitting, omitting, unwitting
UW1 Z IH0 NG	1	18	using	5.47	using (5.5)	using, losing, choosing, confusing, refusing, amusing, accusing, abusing, cruising, bruising, fusing, oozing, misusing, reusing, excusing, musing, perusing, infusing
AY1 T IH0 D	1	18	united	5.47	united (5.5)	united, excited, invited, cited, delighted, reunited, sighted, indicted, ignited, lighted, uninvited, incited, knighted, unrequited, blighted, sited, shortsighted, slighted
EY1 ER0	1	18	player	5.19	player (5.2),  mayor (4.6)	player, mayor, prayer, layer, mayer, slayer, surveyor, conveyor, bayer, payer, thayer, ayer, maier, beyer, breyer, sprayer, purveyor, sayer
AO1 R T IH0 D	1	18	supported	4.68	supported (4.7)	supported, imported, sorted, distorted, escorted, purported, assorted, resorted, aborted, thwarted, ported, unsupported, unreported, courted, snorted, sported, shorted, retorted
EY1 D IH0 NG	1	18	trading	4.63	trading (4.6)	trading, upgrading, fading, invading, grading, aiding, degrading, shading, raiding, persuading, wading, evading, masquerading, cascading, parading, downgrading, crusading, braiding
AY1 AH0 N	1	18	ryan	4.59	ryan (4.6),  lion (4.2),  hyun (3.4)	ryan, brian, lion, ion, bryan, lyon, hawaiian, zion, orion, hyun, dion, ghanaian, himalayan, mayan, scion, uruguayan, dian, tryon
IH1 P IH0 NG	1	18	shipping	4.52	shipping (4.5)	shipping, slipping, flipping, ripping, skipping, tipping, stripping, tripping, dipping, dripping, gripping, whipping, sipping, clipping, chipping, equipping, zipping, nipping
OW1 M AH0	1	18	oklahoma	4.27	oklahoma (4.3)	oklahoma, diploma, coma, roma, tacoma, lymphoma, aroma, soma, melanoma, carcinoma, sonoma, glaucoma, loma, moma, paloma, mesothelioma, oma, toma
EY1 D IH0 D	1	18	traded	4.15	traded (4.2)	traded, persuaded, aided, invaded, faded, raided, graded, degraded, shaded, braided, jaded, evaded, paraded, bladed, unaided, blockaded, waded, dissuaded
EH1 S T ER0	1	18	semester	4.03	semester (4.0),  investor (4.0)	semester, investor, leicester, chester, lester, esther, sylvester, tester, hester, polyester, trimester, ester, jester, nestor, fester, molester, pester, sequester
EH1 L ER0	1	18	seller	4.01	seller (4.0),  stellar (3.8),  mellor (2.7)	seller, stellar, cellar, keller, teller, bestseller, interstellar, propeller, heller, weller, geller, reseller, dweller, feller, mellor, zeller, eller, mckellar
AE1 T ER0	1	17	matter	5.38	matter (5.4),  tatar (2.8)	matter, latter, batter, mater, scatter, chatter, flatter, platter, shatter, fatter, tatar, hatter, patter, splatter, clatter, antimatter, blatter
IH1 ZH AH0 N	1	17	tv	5.2	tv (5.2),  decision (5.1),  parisian (3.3)	tv, decision, division, vision, provision, precision, collision, supervision, revision, parisian, circumcision, envision, incision, derision, univision, indecision, excision
AA1 R IY0	1	17	sorry	5.18	sorry (5.2),  ferrari (3.9),  laurie (3.6),  starry (3.1)	sorry, ferrari, laurie, safari, ari, mari, hari, starry, sari, atari, harare, bari, ansari, centauri, shari, calamari, amari
AH1 K SH AH0 N	1	17	production	5.14	production (5.1)	production, construction, introduction, reduction, destruction, instruction, reconstruction, reproduction, induction, obstruction, deduction, abduction, suction, seduction, conduction, deconstruction, reintroduction
AY1 T IH0 NG	1	17	writing	5.07	writing (5.1)	writing, fighting, exciting, lighting, citing, inviting, biting, uniting, sighting, inciting, rewriting, underwriting, reciting, whiting, reuniting, igniting, siting
AY1 AH0	1	17	via	5.02	via (5.0),  messiah (3.5)	via, maya, messiah, jeremiah, mariah, playa, josiah, gaia, maia, papaya, jaya, aja, pariah, elia, himalaya, nehemiah, daya
EH1 N D AH0 D	1	17	ended	4.92	ended (4.9),  splendid (3.8)	ended, intended, extended, recommended, attended, suspended, defended, offended, amended, splendid, tended, descended, pretended, blended, depended, apprehended, ascended
OW1 L IY0	1	17	holy	4.88	holy (4.9),  slowly (4.6),  wholly (3.8),  foley (3.5),  goalie (3.5),  coli (3.3)	holy, slowly, wholly, foley, goalie, ollie, lowly, coli, unholy, kohli, rowley, guacamole, ravioli, moly, poli, anatoly, rizzoli
IH1 L IH0 NG	1	17	killing	4.88	killing (4.9)	killing, willing, filling, drilling, fulfilling, unwilling, chilling, thrilling, billing, spilling, milling, shilling, grilling, schilling, distilling, yearling, instilling
EH1 R IH0 K	1	17	eric	4.49	eric (4.5),  derek (4.0),  erik (3.7),  derrick (3.5),  erich (3.0)	eric, generic, derek, atmospheric, erik, derrick, cleric, barbaric, esoteric, carrick, merrick, numeric, erich, erick, garrick, herrick, homeric
IH1 K SH AH0 N	1	17	fiction	4.44	fiction (4.4)	fiction, addiction, conviction, jurisdiction, prediction, restriction, friction, contradiction, depiction, eviction, nonfiction, affliction, crucifixion, diction, interdiction, constriction, dereliction
AO1 R IH0 NG	1	17	boring	4.43	boring (4.4)	boring, scoring, exploring, ignoring, pouring, restoring, storing, roaring, soaring, flooring, snoring, warring, adoring, outpouring, loring, imploring, goring
AE1 N D IY0	1	17	andy	4.43	andy (4.4),  brandi (3.0),  andie (2.5)	andy, candy, sandy, handy, randy, brandy, mandy, dandy, brandi, tandy, operandi, randi, mandi, sandi, bandy, modus-operandi, andie
UW1 ZH AH0 N	1	17	conclusion	4.4	conclusion (4.4)	conclusion, confusion, fusion, inclusion, illusion, exclusion, collusion, intrusion, diffusion, delusion, infusion, transfusion, allusion, seclusion, extrusion, occlusion, profusion
AE1 N IH0 K	1	17	organic	4.4	organic (4.4),  yannick (2.6)	organic, atlantic, panic, hispanic, mechanic, volcanic, gigantic, titanic, oceanic, manic, satanic, inorganic, transatlantic, germanic, botanic, messianic, yannick
IY1 OW0	1	17	rio	4.35	rio (4.3),  keogh (2.7)	rio, leo, seo, neo, theo, geo, galileo, castillo, cleo, yeo, deo, trujillo, reo, clio, keogh, kyo, tokio
AE1 K IH0 NG	1	17	attacking	4.29	attacking (4.3)	attacking, tracking, backing, lacking, packing, cracking, hacking, stacking, racking, sacking, smacking, jacking, unpacking, snacking, wracking, whacking, tacking
IH1 L AH0	1	17	villa	4.2	villa (4.2)	villa, manila, vanilla, gorilla, guerrilla, godzilla, camilla, sevilla, priscilla, padilla, guerilla, attila, flotilla, avila, willa, anguilla, chinchilla
UW1 T IH0 D	1	17	suited	4.03	suited (4.0)	suited, rooted, recruited, disputed, muted, polluted, computed, routed, reputed, undisputed, looted, booted, refuted, commuted, uprooted, rerouted, unsuited
UH1 R IH0 NG	1	16	during	5.72	during (5.7)	during, ensuring, securing, touring, enduring, reassuring, curing, turing, assuring, maturing, alluring, procuring, luring, mooring, insuring, obscuring
ER1 IH0 NG	1	16	during	5.72	during (5.7)	during, referring, occurring, transferring, recurring, stirring, preferring, blurring, incurring, conferring, purring, deferring, deterring, inferring, concurring, spurring
IH1 T IY0	1	16	city	5.61	city (5.6),  pretty (5.4),  committee (5.0),  kitty (4.0),  citi (3.0)	city, pretty, new-york-city, committee, kansas-city, kitty, pity, witty, subcommittee, gritty, citi, bitty, chitty, nitty, ditty, itty
IY1 D IH0 D	1	16	needed	5.18	needed (5.2)	needed, succeeded, proceeded, exceeded, preceded, pleaded, conceded, seeded, beaded, ceded, impeded, receded, heeded, unneeded, acceded, unimpeded
